V1	V2	V3	V4	V5	V6	V7
ENSG00000111237	ENSG00000146733	ENSG00000178445	ENSG00000183044	ENSG00000185813		
ENSG00000092621	ENSG00000099810	ENSG00000134882	ENSG00000178445	ENSG00000185813		
ENSG00000091140	ENSG00000111237	ENSG00000146733	ENSG00000183044	ENSG00000185813		
ENSG00000091140	ENSG00000111237	ENSG00000119711	ENSG00000146733	ENSG00000185813		
ENSG00000111237	ENSG00000140905	ENSG00000146733	ENSG00000149089	ENSG00000185813		
ENSG00000091140	ENSG00000111237	ENSG00000123505	ENSG00000146733	ENSG00000185813		
ENSG00000119711	ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000145020		
ENSG00000102172	ENSG00000116649	ENSG00000135069	ENSG00000140905	ENSG00000185813		
ENSG00000123505	ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000140905		
ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000140905	ENSG00000149089		
ENSG00000037757	ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000140905		
ENSG00000111237	ENSG00000119711	ENSG00000140905	ENSG00000146733	ENSG00000185813		
ENSG00000037757	ENSG00000091140	ENSG00000111237	ENSG00000146733	ENSG00000185813		
ENSG00000088826	ENSG00000116649	ENSG00000135069	ENSG00000178445	ENSG00000185813		
ENSG00000073578	ENSG00000088826	ENSG00000135069	ENSG00000178445	ENSG00000185813		
ENSG00000088826	ENSG00000135069	ENSG00000143149	ENSG00000178445	ENSG00000185813		
ENSG00000111237	ENSG00000119711	ENSG00000145020	ENSG00000146733	ENSG00000185813		
ENSG00000111237	ENSG00000145020	ENSG00000146733	ENSG00000183044	ENSG00000185813		
ENSG00000091140	ENSG00000111669	ENSG00000119711	ENSG00000135069	ENSG00000138030		
ENSG00000091140	ENSG00000100116	ENSG00000111669	ENSG00000119711	ENSG00000135069		
ENSG00000099810	ENSG00000111237	ENSG00000145020	ENSG00000146733	ENSG00000185813		
ENSG00000091140	ENSG00000111669	ENSG00000131471	ENSG00000135069	ENSG00000183044		
ENSG00000091140	ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000183044		
ENSG00000099810	ENSG00000148672	ENSG00000182890	ENSG00000185813	ENSG00000261052		
ENSG00000091140	ENSG00000092621	ENSG00000099810	ENSG00000134882	ENSG00000185813		
ENSG00000119711	ENSG00000148672	ENSG00000182890	ENSG00000185813	ENSG00000261052		
ENSG00000103150	ENSG00000112972	ENSG00000134240	ENSG00000163541	ENSG00000198130		
ENSG00000117118	ENSG00000119711	ENSG00000135069	ENSG00000138030	ENSG00000185813		
ENSG00000119711	ENSG00000135069	ENSG00000138030	ENSG00000143252	ENSG00000185813		
ENSG00000037757	ENSG00000135069	ENSG00000138030	ENSG00000143252	ENSG00000185813		
ENSG00000119711	ENSG00000135069	ENSG00000138030	ENSG00000159423	ENSG00000185813		
ENSG00000119711	ENSG00000135069	ENSG00000138030	ENSG00000185813	ENSG00000204370		
ENSG00000073578	ENSG00000119711	ENSG00000135069	ENSG00000138030	ENSG00000185813		
ENSG00000135069	ENSG00000135929	ENSG00000138030	ENSG00000143252	ENSG00000185813		
ENSG00000037757	ENSG00000073578	ENSG00000135069	ENSG00000138030	ENSG00000185813		
ENSG00000037757	ENSG00000062485	ENSG00000135069	ENSG00000138030	ENSG00000185813		
ENSG00000037757	ENSG00000091483	ENSG00000135069	ENSG00000138030	ENSG00000185813		
ENSG00000091483	ENSG00000135069	ENSG00000138030	ENSG00000153574	ENSG00000185813		
ENSG00000123505	ENSG00000148672	ENSG00000182890	ENSG00000185813	ENSG00000198610		
ENSG00000148672	ENSG00000182890	ENSG00000183044	ENSG00000185813	ENSG00000198610		
