V1	V2	V3	V4	V5	V6
ENSG00000100075	ENSG00000135940	ENSG00000151366	ENSG00000173599	ENSG00000183048	
ENSG00000148672	ENSG00000153574	ENSG00000176974	ENSG00000182890	ENSG00000261052	
ENSG00000025708	ENSG00000138030	ENSG00000153574	ENSG00000168393	ENSG00000198805	
ENSG00000111237	ENSG00000138030	ENSG00000146733	ENSG00000153574	ENSG00000241935	
ENSG00000025708	ENSG00000138030	ENSG00000153574	ENSG00000167900	ENSG00000198805	
ENSG00000111237	ENSG00000138030	ENSG00000143252	ENSG00000146733	ENSG00000153574	
ENSG00000116761	ENSG00000138030	ENSG00000148672	ENSG00000153574	ENSG00000182890	
ENSG00000092621	ENSG00000134882	ENSG00000138030	ENSG00000145020	ENSG00000153574	
ENSG00000088826	ENSG00000138801	ENSG00000148672	ENSG00000182890	ENSG00000198682	
ENSG00000100116	ENSG00000100596	ENSG00000145020	ENSG00000153574	ENSG00000241878	
ENSG00000092621	ENSG00000093217	ENSG00000134882	ENSG00000153574	ENSG00000176974	
ENSG00000100348	ENSG00000136810	ENSG00000138030	ENSG00000153574	ENSG00000168393	
ENSG00000099795	ENSG00000101473	ENSG00000126267	ENSG00000173599	ENSG00000177465	
ENSG00000099795	ENSG00000101473	ENSG00000173599	ENSG00000177465	ENSG00000178741	
ENSG00000101473	ENSG00000160194	ENSG00000173599	ENSG00000177465	ENSG00000198938	
ENSG00000101473	ENSG00000110717	ENSG00000173599	ENSG00000177465	ENSG00000178741	
ENSG00000101473	ENSG00000128609	ENSG00000156885	ENSG00000173599	ENSG00000177465	
ENSG00000101473	ENSG00000168653	ENSG00000173599	ENSG00000177465	ENSG00000178741	
ENSG00000101473	ENSG00000145494	ENSG00000173599	ENSG00000177465	ENSG00000178741	
ENSG00000101473	ENSG00000115286	ENSG00000173599	ENSG00000177465	ENSG00000178741	
ENSG00000101473	ENSG00000164919	ENSG00000170906	ENSG00000173599	ENSG00000177465	
ENSG00000101473	ENSG00000145494	ENSG00000156885	ENSG00000173599	ENSG00000177465	
ENSG00000101473	ENSG00000111775	ENSG00000115286	ENSG00000173599	ENSG00000177465	
ENSG00000112759	ENSG00000131471	ENSG00000140905	ENSG00000153574	ENSG00000171848	
ENSG00000131471	ENSG00000140905	ENSG00000153574	ENSG00000169299	ENSG00000180953	
ENSG00000101473	ENSG00000131055	ENSG00000140990	ENSG00000173599	ENSG00000177465	
ENSG00000131471	ENSG00000135069	ENSG00000140905	ENSG00000153574	ENSG00000183044	
ENSG00000101473	ENSG00000127184	ENSG00000140990	ENSG00000173599	ENSG00000177465	
ENSG00000093217	ENSG00000111237	ENSG00000145020	ENSG00000146733	ENSG00000153574	
ENSG00000101473	ENSG00000131055	ENSG00000167792	ENSG00000173599	ENSG00000177465	
ENSG00000101473	ENSG00000140990	ENSG00000160471	ENSG00000173599	ENSG00000177465	
ENSG00000101473	ENSG00000151366	ENSG00000173599	ENSG00000177465	ENSG00000178741	
ENSG00000101473	ENSG00000167792	ENSG00000173599	ENSG00000177465	ENSG00000198938	
ENSG00000092621	ENSG00000113492	ENSG00000134882	ENSG00000153574	ENSG00000172482	
ENSG00000091140	ENSG00000099810	ENSG00000131471	ENSG00000135069	ENSG00000153574	
ENSG00000119537	ENSG00000131471	ENSG00000153574	ENSG00000178445	ENSG00000241878	
ENSG00000091140	ENSG00000099810	ENSG00000135069	ENSG00000153574	ENSG00000173599	
ENSG00000123505	ENSG00000128309	ENSG00000128311	ENSG00000148672	ENSG00000182890	
ENSG00000128309	ENSG00000128311	ENSG00000148672	ENSG00000182890	ENSG00000183044	
ENSG00000088826	ENSG00000120053	ENSG00000125166	ENSG00000148672	ENSG00000182890	
ENSG00000119711	ENSG00000120053	ENSG00000125166	ENSG00000148672	ENSG00000182890	
ENSG00000113492	ENSG00000125454	ENSG00000153574	ENSG00000171848	ENSG00000172482	
ENSG00000048392	ENSG00000113492	ENSG00000125454	ENSG00000153574	ENSG00000172482	
ENSG00000111237	ENSG00000113492	ENSG00000146733	ENSG00000153574	ENSG00000172482	
ENSG00000113492	ENSG00000153574	ENSG00000169299	ENSG00000172482	ENSG00000180953	
ENSG00000048392	ENSG00000112759	ENSG00000113492	ENSG00000153574	ENSG00000172482	
ENSG00000048392	ENSG00000113492	ENSG00000134326	ENSG00000153574	ENSG00000172482	
ENSG00000112759	ENSG00000113492	ENSG00000153574	ENSG00000172482	ENSG00000196839	
ENSG00000123505	ENSG00000138801	ENSG00000148672	ENSG00000182890	ENSG00000198682	
ENSG00000062485	ENSG00000125166	ENSG00000146701	ENSG00000155368	ENSG00000178537	
ENSG00000120053	ENSG00000127184	ENSG00000136521	ENSG00000169154	ENSG00000185818	
ENSG00000091140	ENSG00000111237	ENSG00000146733	ENSG00000153574	ENSG00000183044	
ENSG00000120053	ENSG00000123505	ENSG00000125166	ENSG00000148672	ENSG00000182890	
ENSG00000090054	ENSG00000113492	ENSG00000153574	ENSG00000172482	ENSG00000241878	
ENSG00000113492	ENSG00000153574	ENSG00000166224	ENSG00000172482	ENSG00000241878	
