V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26
ENSG00000004455	ENSG00000085231	ENSG00000097021	ENSG00000106992	ENSG00000119673	ENSG00000136881	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000177465	ENSG00000184227	ENSG00000196839	ENSG00000205669	ENSG00000273841									
ENSG00000004455	ENSG00000085231	ENSG00000090661	ENSG00000106992	ENSG00000139624	ENSG00000140057	ENSG00000143418	ENSG00000147853	ENSG00000154027	ENSG00000154227	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000167325	ENSG00000172292	ENSG00000223802	ENSG00000273841									
ENSG00000004455	ENSG00000078124	ENSG00000085231	ENSG00000104763	ENSG00000106992	ENSG00000125454	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000167769	ENSG00000177076	ENSG00000183048	ENSG00000188611	ENSG00000273841									
ENSG00000004455	ENSG00000078124	ENSG00000085231	ENSG00000104763	ENSG00000106992	ENSG00000140057	ENSG00000143774	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162368	ENSG00000162433	ENSG00000165695	ENSG00000167769	ENSG00000177076	ENSG00000188611	ENSG00000273841									
ENSG00000004455	ENSG00000085231	ENSG00000090661	ENSG00000106992	ENSG00000139624	ENSG00000140057	ENSG00000143418	ENSG00000147853	ENSG00000154027	ENSG00000154227	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000172292	ENSG00000196839	ENSG00000223802	ENSG00000273841									
ENSG00000004455	ENSG00000085231	ENSG00000090661	ENSG00000106992	ENSG00000139624	ENSG00000140057	ENSG00000143418	ENSG00000147853	ENSG00000154027	ENSG00000154227	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000171848	ENSG00000172292	ENSG00000223802	ENSG00000273841									
ENSG00000004455	ENSG00000078124	ENSG00000085231	ENSG00000104763	ENSG00000106992	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162368	ENSG00000162433	ENSG00000165695	ENSG00000165704	ENSG00000167769	ENSG00000177076	ENSG00000188611	ENSG00000273841									
ENSG00000004455	ENSG00000078124	ENSG00000085231	ENSG00000104763	ENSG00000106992	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000167769	ENSG00000177076	ENSG00000188611	ENSG00000198805	ENSG00000198931	ENSG00000273841									
ENSG00000004455	ENSG00000078124	ENSG00000085231	ENSG00000104763	ENSG00000106992	ENSG00000112759	ENSG00000125454	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000167769	ENSG00000177076	ENSG00000188611	ENSG00000273841									
ENSG00000004455	ENSG00000078124	ENSG00000085231	ENSG00000100348	ENSG00000104763	ENSG00000106992	ENSG00000136810	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000167769	ENSG00000177076	ENSG00000188611	ENSG00000273841									
ENSG00000004455	ENSG00000085231	ENSG00000105835	ENSG00000106992	ENSG00000130717	ENSG00000140057	ENSG00000143179	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000165704	ENSG00000166224	ENSG00000198276	ENSG00000198931	ENSG00000273841									
ENSG00000004455	ENSG00000025708	ENSG00000078124	ENSG00000085231	ENSG00000104763	ENSG00000106992	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000167769	ENSG00000177076	ENSG00000188611	ENSG00000198805	ENSG00000273841									
ENSG00000004455	ENSG00000078124	ENSG00000085231	ENSG00000104763	ENSG00000106992	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000167769	ENSG00000177076	ENSG00000184470	ENSG00000188611	ENSG00000198431	ENSG00000273841									
ENSG00000004455	ENSG00000085231	ENSG00000095321	ENSG00000100075	ENSG00000106992	ENSG00000112972	ENSG00000125454	ENSG00000138796	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000157184	ENSG00000162433	ENSG00000165695	ENSG00000166224	ENSG00000273841									
ENSG00000004455	ENSG00000085231	ENSG00000095321	ENSG00000100075	ENSG00000106992	ENSG00000120437	ENSG00000125454	ENSG00000138796	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000157184	ENSG00000162433	ENSG00000165695	ENSG00000166224	ENSG00000273841									
ENSG00000004455	ENSG00000085231	ENSG00000095321	ENSG00000100075	ENSG00000106992	ENSG00000112972	ENSG00000125454	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000157184	ENSG00000162433	ENSG00000165695	ENSG00000166224	ENSG00000167315	ENSG00000273841									
ENSG00000004455	ENSG00000075239	ENSG00000085231	ENSG00000095321	ENSG00000100075	ENSG00000106992	ENSG00000125454	ENSG00000138796	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000157184	ENSG00000162433	ENSG00000165695	ENSG00000166224	ENSG00000273841									
ENSG00000004455	ENSG00000075239	ENSG00000085231	ENSG00000095321	ENSG00000100075	ENSG00000106992	ENSG00000125454	ENSG00000127884	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000157184	ENSG00000162433	ENSG00000165695	ENSG00000166224	ENSG00000273841									
ENSG00000004455	ENSG00000085231	ENSG00000106992	ENSG00000111732	ENSG00000125458	ENSG00000140057	ENSG00000143753	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000158825	ENSG00000162433	ENSG00000165695	ENSG00000165704	ENSG00000168350	ENSG00000205309	ENSG00000273841									
ENSG00000004455	ENSG00000085231	ENSG00000106992	ENSG00000111732	ENSG00000125458	ENSG00000140057	ENSG00000143753	ENSG00000143774	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000158825	ENSG00000162433	ENSG00000165695	ENSG00000168350	ENSG00000205309	ENSG00000273841									
ENSG00000004455	ENSG00000047230	ENSG00000085231	ENSG00000106992	ENSG00000125458	ENSG00000140057	ENSG00000143753	ENSG00000143774	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000168350	ENSG00000171793	ENSG00000205309	ENSG00000273841									
ENSG00000004455	ENSG00000085231	ENSG00000094841	ENSG00000106992	ENSG00000130717	ENSG00000140057	ENSG00000143179	ENSG00000143753	ENSG00000143774	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000168350	ENSG00000198276	ENSG00000273841									
