V1	V2	V3	V4
ENSG00000116459	ENSG00000150768	ENSG00000204370	
ENSG00000091483	ENSG00000130649	ENSG00000241837	
ENSG00000130649	ENSG00000143252	ENSG00000169020	
ENSG00000091483	ENSG00000116459	ENSG00000130649	
ENSG00000152234	ENSG00000168291	ENSG00000204370	
ENSG00000091140	ENSG00000099795	ENSG00000112695	
ENSG00000073578	ENSG00000116459	ENSG00000130649	
ENSG00000150768	ENSG00000156411	ENSG00000173599	
ENSG00000150768	ENSG00000173599	ENSG00000198899	
ENSG00000150768	ENSG00000167863	ENSG00000173599	
ENSG00000150768	ENSG00000154723	ENSG00000173599	
ENSG00000116459	ENSG00000150768	ENSG00000173599	
ENSG00000150768	ENSG00000173599	ENSG00000228253	
ENSG00000150768	ENSG00000173599	ENSG00000241837	
ENSG00000150768	ENSG00000152234	ENSG00000173599	
ENSG00000150768	ENSG00000173599	ENSG00000241468	
ENSG00000023228	ENSG00000091140	ENSG00000170516	
ENSG00000062485	ENSG00000150768	ENSG00000167863	
ENSG00000135390	ENSG00000168291	ENSG00000173599	
ENSG00000135390	ENSG00000163541	ENSG00000168291	
ENSG00000119711	ENSG00000124172	ENSG00000168291	
ENSG00000117118	ENSG00000135390	ENSG00000168291	
ENSG00000091140	ENSG00000131495	ENSG00000170516	
ENSG00000119711	ENSG00000168291	ENSG00000169020	
ENSG00000124172	ENSG00000168291	ENSG00000173599	
ENSG00000117118	ENSG00000130649	ENSG00000228253	
ENSG00000119711	ENSG00000156411	ENSG00000168291	
ENSG00000091140	ENSG00000131174	ENSG00000158864	
ENSG00000119711	ENSG00000154518	ENSG00000168291	
ENSG00000119711	ENSG00000168291	ENSG00000241468	
ENSG00000143252	ENSG00000150768	ENSG00000228253	
ENSG00000150768	ENSG00000183044	ENSG00000228253	
ENSG00000062485	ENSG00000150768	ENSG00000228253	
ENSG00000130649	ENSG00000143252	ENSG00000165629	
ENSG00000154518	ENSG00000168291	ENSG00000173599	
ENSG00000073578	ENSG00000154518	ENSG00000168291	
ENSG00000117118	ENSG00000154518	ENSG00000168291	
ENSG00000091140	ENSG00000115286	ENSG00000131055	
ENSG00000073578	ENSG00000159199	ENSG00000168291	
ENSG00000119689	ENSG00000150768	ENSG00000165629	
ENSG00000110955	ENSG00000163541	ENSG00000168291	
ENSG00000156411	ENSG00000168291	ENSG00000204370	
ENSG00000130649	ENSG00000143252	ENSG00000156411	
ENSG00000091140	ENSG00000136521	ENSG00000161281	
ENSG00000073578	ENSG00000150768	ENSG00000159199	
ENSG00000150768	ENSG00000156411	ENSG00000204370	
ENSG00000091140	ENSG00000136521	ENSG00000176340	
ENSG00000124172	ENSG00000143252	ENSG00000150768	
ENSG00000124172	ENSG00000150768	ENSG00000183044	
ENSG00000091140	ENSG00000127184	ENSG00000147684	
ENSG00000117118	ENSG00000150768	ENSG00000228253	
ENSG00000091483	ENSG00000130649	ENSG00000165629	
ENSG00000152234	ENSG00000168291	ENSG00000183044	
ENSG00000091140	ENSG00000111775	ENSG00000198763	
ENSG00000119711	ENSG00000135390	ENSG00000150768	
ENSG00000062485	ENSG00000154518	ENSG00000168291	
ENSG00000062485	ENSG00000167283	ENSG00000168291	
ENSG00000154723	ENSG00000163541	ENSG00000168291	
ENSG00000062485	ENSG00000156411	ENSG00000168291	
ENSG00000062485	ENSG00000150768	ENSG00000156411	
ENSG00000091140	ENSG00000140990	ENSG00000156885	
ENSG00000150768	ENSG00000154723	ENSG00000163541	
ENSG00000062485	ENSG00000110955	ENSG00000168291	
ENSG00000062485	ENSG00000150768	ENSG00000154723	
ENSG00000143252	ENSG00000150768	ENSG00000241837	
ENSG00000062485	ENSG00000168291	ENSG00000228253	
ENSG00000119711	ENSG00000150768	ENSG00000159199	
ENSG00000167283	ENSG00000168291	ENSG00000183044	
ENSG00000135390	ENSG00000143252	ENSG00000150768	
ENSG00000168291	ENSG00000169020	ENSG00000204370	
ENSG00000117118	ENSG00000150768	ENSG00000198899	
ENSG00000091483	ENSG00000154518	ENSG00000168291	
ENSG00000091140	ENSG00000119421	ENSG00000198712	
ENSG00000150768	ENSG00000167283	ENSG00000183044	
ENSG00000168291	ENSG00000173599	ENSG00000228253	
ENSG00000073578	ENSG00000168291	ENSG00000228253	
ENSG00000119689	ENSG00000168291	ENSG00000228253	
ENSG00000004779	ENSG00000091140	ENSG00000127184	
ENSG00000091140	ENSG00000125356	ENSG00000176340	
ENSG00000091140	ENSG00000127184	ENSG00000168653	
ENSG00000091140	ENSG00000125356	ENSG00000127184	
ENSG00000091140	ENSG00000127184	ENSG00000147123	
ENSG00000091140	ENSG00000140990	ENSG00000164919	
ENSG00000091140	ENSG00000160471	ENSG00000198763	
ENSG00000004779	ENSG00000091140	ENSG00000160471	
ENSG00000004779	ENSG00000091140	ENSG00000131055	
ENSG00000091140	ENSG00000127184	ENSG00000130414	
ENSG00000062485	ENSG00000154723	ENSG00000168291	
ENSG00000143252	ENSG00000168291	ENSG00000241837	
ENSG00000165629	ENSG00000168291	ENSG00000173599	
ENSG00000117118	ENSG00000168291	ENSG00000241468	
ENSG00000124172	ENSG00000143252	ENSG00000168291	
ENSG00000091140	ENSG00000135940	ENSG00000186010	
ENSG00000117118	ENSG00000168291	ENSG00000228253	
ENSG00000143252	ENSG00000154518	ENSG00000168291	
ENSG00000091140	ENSG00000112695	ENSG00000186010	
ENSG00000091140	ENSG00000161281	ENSG00000186010	
ENSG00000091140	ENSG00000186010	ENSG00000198938	
